vocabulary,ch_meaning,en_meaning,equation_1,equation_2,list,id
exuberant,adj.非常高兴的，热情洋溢的,joyously unrestrained,exuberant = energetic + enthusiastic,exuberant = lively + joyful,list22,4028
magisterial,adj. 权威的\,having or showing great authority.,magisterial = authoritative + commanding,magisterial = dominant + influential,list22,4029
melodramatic,adj.感情夸张的，伤感的,exaggeratedly emotional,melodramatic = dramatic + exaggeration,melodramatic = emotional + over-the-top,list23,4030
hard-boiled,adj. 强硬的,"tough, unsentimental, or realistic",hard-boiled = tough + unsympathetic,hard-boiled = realistic + no-nonsense,list23,4031
appeal,n.申请；n.起诉,1. application; 2. accuse,appeal = request + urgency,appeal = attractiveness + interest,list23,4032
titanic,adj. 巨大的,"of exceptional strength, size, or power",titanic = huge + powerful,titanic = colossal + mighty,list23,4033
fleeting,adj.稍纵即逝的，短暂的,for a short time,fleeting = short duration + transient,fleeting = brief + momentary,list23,4034
momentum,n.动力；势头,impetus,momentum = progress + driving force,momentum = accumulation of motion + continuity,list23,4035
corrode,v. 腐蚀；v. 逐渐削弱,"1. to destroy or damage metal, stone, or other materials slowly by chemical action; 2. to weaken or destroy gradually over time",corrode = metal + rust,corrode = gradual damage + time,list23,4036
invert,v. 颠倒,"to put upside down or in the opposite position, order, or arrangement",invert = reverse + position,invert = flip + upside down,list23,4037
staid,adj. 古板的,"sedate, respectable, and unadventurous",staid = serious + unadventurous,staid = reserved + traditional,list23,4038
preliminary,adj. 初步的,serving as a preparation for something more important; introductory,preliminary = initial + preparatory,preliminary = beginning + introductory,list23,4039
arable,adj.适合耕种的,growing of crops,arable = fertile + cultivatable,arable = farmable + productive,list23,4040
hand-wringing,n. 焦虑不安,"excessive display of concern or worry, especially in an anxious or distressed manner",hand-wringing = anxiety + excessive worry,hand-wringing = distress + nervous gesture,list23,4041
unprepossessing,adj. 不吸引人的,not attractive or appealing to the eye,unprepossessing = unattractive + plain,unprepossessing = lacking charm + unimpressive,list23,4042
precipitate,adj.匆忙的；v.促使，导致,1. acting with careless speed; 2. cause to happen,precipitate = trigger + sudden event,precipitate = cause + immediate effect,list23,4043
second,v. 支持,to formally support or endorse (a proposal or motion),second = support + proposal,second = endorse + motion,list23,4044
cliche,n. 陈词滥调,a phrase or opinion that is overused and lacks original thought,cliche = overused phrase + lack of originality,cliche = common expression + unoriginal,list23,4045
telltale,n. 告密者,a person who reveals secrets or informs on others,telltale = informant + snitch,telltale = whistleblower + revealer,list23,4046
hazard,n. 危险,a danger or risk,hazard = danger + risk,hazard = threat + potential harm,list23,4047
terrific,adj. 极好的,extremely good or excellent,terrific = excellent + outstanding,terrific = great + impressive,list23,4048
treasure,n. 财富,"a quantity of precious metals, gems, or other valuable objects",treasure = wealth + riches,treasure = appreciate + preserve,list23,4049
occlude,v. 阻塞,to block or stop up (an opening or passage),occlude = block + passage,occlude = obstruct + seal,list23,4050
utilitarian,adj. 功利的,designed to be useful or practical rather than attractive,utilitarian = practical + functional,utilitarian = utility + simplicity,list23,4051
fidelity,n.忠诚,being faithful,fidelity = loyalty + faithfulness,fidelity = commitment + trustworthiness,list23,4052
venal,adj.贪污受贿的,open to corrupt,venal = corrupt + bribable,venal = dishonest + corruptible,list23,4053
like-minded,adj. 志趣相投的,having similar tastes or opinions,like-minded = similar interests + shared opinions,like-minded = alike + agreeable,list23,4054
hypocrisy,n. 虚伪,the practice of claiming to have moral standards or beliefs to which one's own behavior does not conform; pretense,hypocrisy = false morality + pretense,hypocrisy = saying one thing + doing another,list23,4055
flabbergast,v. 使大吃一惊,to surprise or shock someone greatly,flabbergast = astonish + shock,flabbergast = stun + amazed surprise,list23,4056
sound,adj.牢固的，不可动摇的；adj.健康的，强壮的；adj.(逻辑上)严谨的,1. withstand stress without structural damage; 2. free from injury; 3.valid reasoning,sound = healthy + strong,sound = well + robust,list23,4057
exactitude,n. 精确性,the quality of being accurate and precise,exactitude = accuracy + precision,exactitude = exactness + attention to detail,list23,4058
scaremonger,n. 散布恐慌的人,a person who spreads frightening or alarming news,scaremonger = fear + spreader,scaremonger = alarmist + news distributor,list23,4059
rudimentary,adj.初始的，未发展的；adj.最根本的，基础的,1. earliest development; 2. first principles,rudimentary = basic + fundamental,rudimentary = elementary + simple,list23,4060
orderly,adj. 有秩序的,adhering to a method or system; well-behaved,orderly = methodical + disciplined,orderly = structured + well-behaved,list23,4061
invalidate,v. 使无效,"to make an argument, statement, or theory unsound or erroneous",invalidate = disprove + nullify,invalidate = refute + annul,list23,4062
synoptic,adj. 概要的,providing a general summary or overview,synoptic = summary + overview,synoptic = concise + comprehensive,list23,4063
trusting,adj. 信任的,showing or tending to have a belief in someone's honesty or sincerity; not suspicious,trusting = believing + honest,trusting = confident + unsuspicious,list23,4064
overreach,v. 过度扩展,to extend too far or to go beyond one's abilities or limits,overreach = exceed + limits,overreach = overextend + capabilities,list23,4065
stump,v. 难住,to baffle or confuse someone,stump = confuse + baffle,stump = puzzle + perplex,list23,4066
fealty,n. 忠诚,a formal acknowledgment of loyalty to a lord,fealty = loyalty + allegiance,fealty = fidelity + loyalty to lord,list23,4067
stem,v. 起源于；v. 阻止,1. to originate in or be caused by; 2. to stop or restrict (the flow of something),stem = originate + cause,stem = stop + flow,list23,4068
suffocate,vt.使窒息,deprive of oxygen,suffocate = deprive of air + unable to breathe,suffocate = stifle + suppress,list23,4069
platitudinous,adj. 平凡的,(of a remark or statement) used too often to be interesting or thoughtful; hackneyed,platitudinous = overused + unoriginal,platitudinous = clichéd + trite,list23,4070
brute,adj. 粗暴的,unreasoning and animal-like,brute = unthinking + animalistic,brute = coarse + savage,list23,4071
grand,adj. 宏伟的,"magnificent and imposing in appearance, size, or style",grand = magnificent + imposing,grand = majestic + impressive,list23,4072
insufficient,adj. 不足的,not enough; inadequate,insufficient = not enough + inadequate,insufficient = lacking + deficient,list23,4073
untrammeled,adj. 不受限制的,not restricted or hampered,untrammeled = free + unrestricted,untrammeled = unconstrained + unhindered,list23,4074
eclipse,vt.使声望下降，使黯然失色,diminish importance,eclipse = surpass + overshadow,eclipse = outshine + diminish,list23,4075
stir,v. 搅拌,to mix a substance in a circular motion,stir = mix + circular motion\,stir = blend + rotate,list23,4076
flippant,adj. 轻率的,not showing a serious or respectful attitude,flippant = disrespectful + casual,flippant = irreverent + thoughtless,list23,4077
latitude,n.(行动或言论)自由,freedom,latitude = freedom + flexibility,latitude = leeway + autonomy,list23,4078
imperceptible,adj. 难以察觉的,"impossible to perceive; very slight, gradual, or subtle",imperceptible = unnoticeable + subtle,imperceptible = undetectable + minute,list23,4079
exhale,v. 呼气,to breathe out air from the lungs,exhale = breathe out + air,exhale = expel + breath,list23,4080
observation,n. 观察,the action or process of closely observing or monitoring something or someone,observation = monitoring + attention,observation = watching + noting details,list23,4081
labyrinthine,adj.迷宫似的，复杂曲折的,extremely complex in structure,labyrinthine = intricate + confusing,labyrinthine = maze-like + complicated,list23,4082
adversarial,adj. 对抗的,involving or characterized by conflict or opposition,adversarial = conflict + opposition,adversarial = opposing + hostile,list23,4083
decay,v. 腐烂,to break down or decompose through the action of bacteria and fungi,decay = decompose + bacteria/fungi action,decay = rot + natural breakdown,list23,4084
lukewarm,adj. 不热情的,showing little enthusiasm,lukewarm = unenthusiastic + indifferent,lukewarm = tepid + apathetic,list23,4085
terrifying,adj. 恐怖的,causing extreme fear,terrifying = extremely scary + fear-inducing,terrifying = frightening + horrifying,list23,4086
virtue,n. 美德,behavior showing high moral standards,virtue = moral excellence + goodness,virtue = positive quality + desirable trait,list23,4087
sycophantic,adj. 谄媚的,behaving or done in an obsequious way in order to gain advantage,sycophantic = obsequious + flattering,sycophantic = servile + ingratiating,list23,4088
pioneering,adj. 先锋的,involving new ideas or methods; innovative,pioneering = innovative + groundbreaking,pioneering = trailblazing + original,list23,4089
pastoral,adj. 田园的,"relating to the countryside or rural life, often idealized",pastoral = countryside + idyllic,pastoral = rural + tranquil,list23,4090
interdisciplinary,adj. 跨学科的,"involving two or more academic, scientific, or artistic disciplines",interdisciplinary = multiple disciplines + integration,interdisciplinary = cross-disciplinary + collaborative,list23,4091
obtuse,adj.愚钝的,absorb ideas readily,obtuse = insensitive + slow to understand,obtuse = dull + unperceptive,list23,4092
humble,adj.谦逊的；adj.顺从的，谦卑的,1. meekness or modesty; 2. . humility or unseemly submissiveness,humble = modest + unpretentious,humble = self-effacing + unassuming,list23,4093
mockery,n.鄙视，嘲弄；n.以嘲笑为目的的模仿,"1. ridicule; 2. derisive,imitation",mockery = teasing + contempt,mockery = ridicule + derision,list23,4094
despair,n. 绝望,the complete loss or absence of hope,despair = hopelessness + suffering,despair = absence of hope + misery,list23,4095
glorify,v. 赞美,to praise and worship someone or something highly,glorify = praise highly + worship,glorify = exalt + reverence,list23,4096
retreat,v. 撤退,"to move back or withdraw, especially from a difficult or dangerous situation",retreat = withdraw + move back,retreat = pull back + evacuate,list23,4097
eject,v. 驱逐,to force or throw out someone or something,eject = force out + expel,eject = throw out + remove,list23,4098
insidious,adj. 潜在的,"proceeding in a gradual, subtle way, but with harmful effects",insidious = gradual + harmful,insidious = subtle + dangerous,list23,4099
rehabilitate,vt.使复原，使康复,restore to healthy condition,rehabilitate = restore health + therapy,rehabilitate = recover + reintegration,list23,4100
affable,adj.和蔼的，温和的,ease friendliness,affable = friendly + good-natured,affable = approachable + amiable,list23,4101
episodic,adj.片段的，断断续续的,lacking in steadiness,episodic = occasional + irregular intervals,episodic = sporadic + infrequent,list23,4102
phlegmatic,adj.冷静的，无感情的，淡漠的,"having a calm, sluggish temperament",phlegmatic = apathetic + sluggish,phlegmatic = indifferent + lethargic,list23,4103
retinue,n. 随从,"a group of advisers, assistants, or others accompanying an important person",retinue = entourage + assistants,retinue = followers + support staff,list23,4104
convoluted,adj.复杂的，费解的,complicated,convoluted = complex + hard to follow,convoluted = intricate + confusing,list23,4105
brash,adj.愚勇的，鲁莽的,bold,brash = reckless + thoughtless,brash = rash + impulsive,list23,4106
reverse,v. 颠倒,to move backward or to change to the opposite direction,reverse = move backward + change direction,reverse = undo + opposite direction,list23,4107
contradictory,adj. 矛盾的,mutually opposed or inconsistent,contradictory = opposing + inconsistent,contradictory = conflicting + incompatible,list23,4108
blur,v.(使)变得朦胧，(使)变得不清楚；v.使不易理解,1. become vague; 2. make unclear,blur = clarity - focus,blur = sharpness - definition,list24,4109
downright,"adv. 完全地, 彻底地",completely or absolutely,downright = completely + undeniably,downright = totally + without doubt,list24,4110
threshold,n. 门槛,the bottom of a doorway that must be crossed when entering a building,threshold = doorway + bottom,threshold = entrance + step,list24,4111
vituperate,vt.谩骂，责骂,abuse or censure,vituperate = criticize + harshly,vituperate = scold + anger,list24,4112
malicious,adj.恶意的,deliberately harmful,malicious = evil intent + harm,malicious = spiteful + hurtful,list24,4113
erstwhile,adj. 以前的,former; of an earlier time,erstwhile = previous + time,erstwhile = former + past,list24,4114
emotive,adj. 情感的,relating to or expressing emotion,emotive = emotion + expressive,emotive = feeling + communication,list24,4115
hostile,adj. 敌对的,unfriendly; antagonistic,hostile = unfriendly + aggressive,hostile = antagonistic + opposing,list24,4116
unyielding,adj. 不屈的,not giving way to pressure; hard or solid,unyielding = resistant + firm,unyielding = stubborn + inflexible,list24,4117
profitmonger,n. 贪婪的商人,a greedy merchant or businessperson,profitmonger = merchant + greedy,profitmonger = businessperson + avarice,list24,4118
chauvinism,n. 沙文主义,"excessive or prejudiced loyalty or support for one's own cause, group, or gender",chauvinism = bias + excessive loyalty,chauvinism = prejudice + nationalism,list24,4119
manipulate,vt.巧妙处理；暗中操控,deviously,manipulate = control + deceit,manipulate = influence + cunning,list24,4120
repress,vt.镇压；vt.阻止(正常的表达、活动或发展等),1. put down by force; 2. prevent expression,repress = subdue + force,repress = suppress + authority,list24,4121
treacherous,adj.背叛的,betrayal,treacherous = betrayal + deception,treacherous = disloyal + untrustworthy,list24,4122
suffrage,n. 选举权,the right to vote in political elections,suffrage = voting + right,suffrage = election + participation,list24,4123
laurel,n. 桂冠,a wreath of laurel leaves worn as a symbol of victory or honor,laurel = victory + wreath,laurel = honor + leaves,list24,4124
feckless,adj.无成果的，没有价值的；adj.粗心不负责任的,1. having no worth; 2. careless,feckless = irresponsible + careless,feckless = negligent + thoughtless,list24,4125
multifaceted,adj. 多方面的,having many aspects or sides,multifaceted = many + aspects,multifaceted = multiple + dimensions,list24,4126
intimidate,vt.威吓,frighten,intimidate = frighten + control,intimidate = threaten + influence,list24,4127
parochial,adj.狭隘的,not broad,parochial = narrow + perspective,parochial = limited + vision,list24,4128
unencumbered,adj. 无负担的,not having any burden or impediment,unencumbered = free + unburdened,unencumbered = light + unrestricted,list24,4129
graze,v. 吃草,(of animals) to eat grass in a field,graze = eat + grass,graze = feed + pasture,list24,4130
temperament,n. 性情,"a person's or animal's nature, especially as it permanently affects their behavior",temperament = nature + behavior,temperament = personality + disposition,list24,4131
acquiescence,n. 默许,the reluctant acceptance of something without protest,acquiescence = reluctant + acceptance,acquiescence = passive + agreement,list24,4132
immerse,v. 沉浸,to involve oneself deeply in a particular activity or interest,immerse = engage + deeply,immerse = absorb + fully,list24,4133
monopoly,n. 垄断,the exclusive possession or control of the supply or trade in a commodity or service,monopoly = exclusive control + market,monopoly = single supplier + no competition,list24,4134
unmistakable,adj. 明显的,not able to be mistaken for anything else; very distinctive,unmistakable = clear + distinctive,unmistakable = obvious + unique,list24,4135
gossamer,n.虚无缥缈的东西；adj.轻薄的；薄弱的,1. insubstantial; 2. light,gossamer = light + delicate,gossamer = thin + fragile,list24,4136
atavistic,adj. 返祖的,relating to or characterized by reversion to something ancient or ancestral,atavistic = ancestral + reversion,atavistic = primitive + inherited,list24,4137
construe,v. 解释,to interpret (a word or action) in a particular way,construe = interpret + understand,construe = explain + deduce,list24,4138
stubborn,adj. 顽固的,having or showing dogged determination not to change one's attitude or position on something,stubborn = determined + inflexible,stubborn = persistent + unyielding,list24,4139
conciliatory,adj. 调解的,showing willingness to end a disagreement or conflict,conciliatory = mediating + cooperative,conciliatory = compromising + harmonizing,list24,4140
fundamental,adj. 基本的，基础的,forming a necessary base or core; of central importance,fundamental = essential + basic,fundamental = foundation + crucial,list24,4141
assimilate,v. 吸收，理解；v. 同化,1. take in and fully understand (information or ideas); to become similar to one's environment or culture,assimilate = absorb + understand,assimilate = adapt + blend in,list24,4142
resurrect,v.使重生，使复苏,bring back to life,resurrect = revive + life,resurrect = death - end + rebirth,list24,4143
complicated,adj. 复杂的，难解的,consisting of many interconnecting parts or elements; intricate,complicated = complex + difficult,complicated = intricate + confusing,list24,4144
vernacular,n.方言；adj.非正式的，口头的,1. nonstandard language; 2. suitable for speech;,vernacular = local language + common speech,vernacular = regional dialect + everyday language,list24,4145
moribound,adj. 垂死的，行将消亡的,(of a person) at the point of death; (of a thing) in terminal decline; lacking vitality or vigor,moribund = dying + declining,moribund = terminal + fading,list24,4146
misfeasance,n. 违法行为，不当行为,the performance of a lawful action in an illegal or improper manner,misfeasance = legal act + improper conduct,misfeasance = authority + misuse,list24,4147
dub,v. 授予称号，起绰号,to give an unofficial name or nickname to someone or something,dub = name + bestow,dub = title + grant,list24,4148
notorious,adj. 声名狼藉的，臭名昭著的,"famous or well known, typically for some bad quality or deed",notorious = famous + negative reputation,notorious = infamous + well-known,list24,4149
yen,n. 渴望，热望,a strong desire or craving,yen = strong desire + longing,yen = craving + intense wish,list24,4150
judicial,adj. 司法的，法庭的,"of, by, or appropriate to a court or judge",judicial = court + legal system,judicial = judiciary + law,list24,4151
conductive,adj. 传导的，有传导力的,having the property of conducting something (especially heat or electricity),conductive = conduct + capable,conductive = conductivity + material,list24,4152
equitable,adj. 公平的，公正的,equitable = fair + impartial,equitable = fair + impartial,equitable = just + even-handed,list24,4153
falsify,v. 篡改，伪造,alter (information or evidence) so as to mislead,falsify = alter + mislead,falsify = forge + deceive,list24,4154
self-perpetuating,adj.自续的，能使自身永久存在的,continuing without ant external intervention;,self-perpetuating = self-sustaining + continuous,self-perpetuating = autonomous + unending,list24,4155
hasty,adj.轻率的,superficial; excessive or careless speed,hasty = quick + careless,hasty = rushed + impatient,list24,4156
touchstone,n. 试金石，标准,a standard or criterion by which something is judged or recognized,touchstone = standard + benchmark,touchstone = criterion + measure,list24,4157
inverse,adj. 相反的，反向的,"opposite or contrary in position, direction, order, or effect",inverse = opposite + reversed,inverse = contrary + inverted,list24,4158
placate,v.(通过让步以)平息抚慰,lessen the anger,placate = calm + soothe,placate = pacify + appease,list24,4159
prevalent,adj.流行的，普遍的,commonly accepted,prevalent = widespread + common,prevalent = frequent + dominant,list24,4160
punctilious,adj.注意细节的，一丝不苟的,attentive to details,punctilious = detail-oriented + meticulous,punctilious = precise + conscientious,list24,4161
diversity,n.多样性,variety multiformity,diversity = variety + differences,diversity = multiplicity + heterogeneity,list24,4162
momentary,adj. 短暂的，瞬间的,lasting for a very short time,momentary = brief + fleeting,momentary = temporary + transient,list24,4163
accelerate,v. 加速，促进,"begin to move more quickly; increase in rate, amount, or extent",accelerate = speed up + increase rate,accelerate = hasten + intensify,list24,4164
prompt,adj. 迅速的，及时的,done without delay; immediate,prompt = immediate + quick,prompt = timely + swift,list24,4165
accessible,adj.可以到达的；adj.可理解的,1. within easy reach; 2. understood,accessible = understandable + user-friendly,accessible = comprehensible + clear,list24,4166
fanciful,adj.不切实际的，荒谬的,without regard for reason,fanciful = imaginative + whimsical,fanciful = unrealistic + creative,list24,4167
flimsy,adj. 脆弱的，不结实的,comparatively light and insubstantial; easily damaged\,flimsy = weak + fragile,flimsy = delicate + insubstantial,list24,4168
fecund,adj.多产的，肥沃的,fruitful,fecund = fertile + productive,fecund = fruitful + prolific,list24,4169
alleviate,v.缓和，减轻,"relieve, lessen",alleviate = reduce + relieve,alleviate = ease + mitigate,list24,4170
mendacity,n. 虚伪，撒谎,untruthfulness; tendency to lie,mendacity = untruthfulness + deception,mendacity = dishonesty + falsehood,list24,4171
mortify,v. 使蒙羞，使感到屈辱,"cause (someone) to feel embarrassed, ashamed, or humiliated",mortify = embarrass + humiliate,mortify = shame + distress,list24,4172
malignant,adj.恶毒的，邪恶的,having a desire to cause someone pain,malignant = harmful + virulent,malignant = dangerous + aggressive,list24,4173
blithe,adj.愉快高兴的；adj.无忧无虑的；漫不经心的,"1. happy, lighthearted; 2. having freedom from worries",blithe = carefree + cheerful,blithe = lighthearted + indifferent,list24,4174
stalemate,n. 僵局,a situation in which further action or progress by opposing parties seems impossible,stalemate = deadlock + impasse,stalemate = standoff + standstill,list24,4175
brink,n. 边缘，临界点,"the edge or verge of a steep place, or the point at which something is about to happen",brink = edge + threshold,brink = verge + precipice,list24,4176
enviable,adj. 令人羡慕的，值得羡慕的,arousing or likely to arouse envy,enviable = desirable + admirable,enviable = coveted + attractive,list24,4177
coterminous,adj. 有共同边界的,"having the same boundaries or extent in space, time, or meaning",coterminous = co- (shared) + terminus (boundary),coterminous = equal boundary + same extent,list25,4178
heartless,adj. 无情的,lacking compassion or empathy; cruel,heartless = compassion - emotion,heartless = cruel + unfeeling,list25,4179
appetite,n. 欲望,a strong desire or liking for something,appetite = desire + interest,appetite = passion + want,list25,4180
established,adj. 已确立的,having been in existence for a long time and therefore recognized and generally accepted,established = long-standing + recognized,established = confirmed + settled,list25,4181
violate,v. 违反；v. 侵犯,1. to treat (something sacred) with irreverence or disrespect; 2. to break or fail to comply with (a rule or formal agreement),violate = disrespect + sacred,violate = break + rule,list25,4182
pathological,adj.不正常的，病态的,markedly abnormal,pathological = compulsive + unhealthy,pathological = abnormal + extreme,list25,4183
precede,v. 先于,to come before something in time,precede = before + time,precede = prior + event,list25,4184
brittle,adj.易碎的，脆弱的，易坏的；adj.不热心的，不真心的,1. easily broken; 2. lacking in friendlyness,brittle = hard + fragile,brittle = stiff + breakable,list25,4185
ardent,adj. 热情的,enthusiastic or passionate,ardent = passionate + enthusiastic,ardent = zealous + intense,list25,4186
rejection,n. 拒绝,"the dismissing or refusing of a proposal, idea, etc.",rejection = refusal + proposal,rejection = denial + offer,list25,4187
thrive,v. 兴旺,to prosper or flourish,thrive = succeed + prosper,thrive = flourish + success,list25,4188
radical,adj. 激进的,relating to or affecting the fundamental nature of something; far-reaching or thorough,radical = fundamental + extreme change,radical = profound + revolutionary,list25,4189
alacrity,n.反应迅速，乐意，欣然,"promptness, readiness",alacrity = enthusiasm + readiness,alacrity = excitement + immediate response,list25,4190
crumble,v. 崩溃,to deteriorate or collapse gradually,crumble = collapse + gradual,crumble = deteriorate + slowly,list25,4191
coddle,v. 溺爱,to treat someone in an overprotective or indulgent way,coddle = overprotect + indulge,coddle = spoil + care,list25,4192
interlope,v. 擅自进入,"to intrude into a place, sphere, or activity",interlope = intrude + uninvited,interlope = trespass + interfere,list25,4193
competing,adj. 相互矛盾的,(of interests or claims) in conflict or competition with each other,competing = conflicting + interests,competing = opposing + claims,list25,4194
choke,v. 阻碍,to hinder or prevent the progress or activity of something,choke = obstruct + progress,choke = impede + flow,list25,4195
implore,v. 恳求,to beg someone earnestly or desperately to do something,implore = beg + earnestly,implore = plead + urgently,list25,4196
economy,n. 节约,careful management of available resources to avoid waste,economy = thrift + resource management,economy = efficiency + savings,list25,4197
constitute,v.指派，任命；v.构成,1. appoint to an office; 2. make up,constitute = form + parts,constitute = compose + elements,list25,4198
fanatic,n.狂热者；adj.狂热的；盲信的,1. unreasoning enthusiasm; 2. intense uncritical devotion,fanatic = zealot + extremist,fanatic = overzealous + passionate,list25,4199
omnivorous,adj. 杂食性的,feeding on both animal and plant substances,omnivorous = herbivorous + carnivorous,omnivorous = eat plants + eat animals,list25,4200
chastise,v. 严厉批评,to criticize someone harshly,chastise = criticize + harshly,chastise = rebuke + sternly,list25,4201
overhaul,v. 彻底检修,to take apart (a piece of machinery or equipment) in order to examine it and repair it if necessary,overhaul = disassemble + repair,overhaul = inspect + rebuild,list25,4202
perpetuate,v. 使永存,to preserve from extinction or oblivion,perpetuate = preserve + eternal,perpetuate = maintain + permanent,list25,4203
demolish,v. 拆毁,to pull or knock down (a building or other structure),demolish = destroy + structure,demolish = dismantle + ruin,list25,4204
despot,n. 暴君,"a ruler who holds absolute power, typically one who exercises it in a cruel or oppressive way",despot = absolute power + cruelty,despot = tyrant + oppressor,list25,4205
mercurial,adj.(情绪)善变的,changeableness of mood,mercurial = unpredictable + changeable,mercurial = erratic + moody,list25,4206
obedience,n. 服从,"compliance with an order, request, or law or submission to another's authority",obedience = compliance + authority,obedience = follow + rules,list25,4207
budding,adj. 发芽的,beginning to develop or show signs of future success in a particular area,budding = developing + emerging,budding = nascent + potential,list25,4208
pretext,n. 借口,a reason given in justification of a course of action that is not the real reason,pretext = false reason + justification,pretext = excuse + concealment,list25,4209
baneful,adj. 有害的,causing harm or ruin; pernicious,baneful = harmful + ruinous,baneful = deadly + detrimental,list25,4210
aberration,n. 反常现象,a characteristic that deviates from the typical or standard form,aberration = abnormality + difference,aberration = divergence + uncommon,list25,4211
confound,v.使困惑；v.证明为假，证伪,1. throw into uncertainty; 2. prove to be false,confound = surprise + confuse,confound = bewilder + perplex,list25,4212
flagrant,adj. 明目张胆的,conspicuously or obviously offensive,flagrant = obvious + offensive,flagrant = blatant + egregious,list25,4213
defect,n. 缺陷,"a shortcoming, imperfection, or lack",defect = flaw + imperfection,defect = fault + weakness,list25,4214
pertinent,adj.相关的，恰当的,having a clear relevance,pertinent = relevant + applicable,pertinent = related + appropriate,list25,4215
duplicate,n.复制品；vt.复制,1. exactly alike; 2. make a copy,duplicate = exact copy + original,duplicate = clone + same,list25,4216
shoulder,v. 承担,to take on a responsibility or burden,shoulder = bear + responsibility,shoulder = accept + obligation,list25,4217
hurtle,v. 猛冲,"to move or cause to move at a great speed, typically in a wildly uncontrolled manner",hurtle = rush + uncontrolled speed,hurtle = speed + crash,list25,4218
long-winded,adj. 冗长的,(of speech or writing) continuing at length and often in a tedious or verbose manner,long-winded = lengthy + tedious,long-winded = verbose + prolonged,list25,4219
seep,v. 渗透,to flow or leak slowly through porous material or small holes,seep = leak + slowly,seep = permeate + gradually,list25,4220
maintain,v. 维护,"to keep in an existing state (as of repair, efficiency, or validity)",maintain = preserve + condition,maintain = keep + functioning,list25,4221
irksome,adj. 令人厌烦的,annoying; irritating,irksome = annoying + tedious,irksome = irritating + boring,list25,4222
extirpate,v. 根除,to root out and destroy completely,extirpate = eradicate + completely,extirpate = eliminate + root,list25,4223
prolific,adj. 多产的,"producing much fruit, foliage, or many offspring",prolific = productive + abundant,prolific = fertile + generative,list25,4224
garner,v. 获得\,"to gather or collect (something, especially information or approval)",garner = gather + collect,garner = accumulate + obtain,list25,4225
upright,adj. 正直的,(of a person or their behavior) strictly honorable or honest,upright = honest + moral,upright = ethical + virtuous,list25,4226
conspicuous,adj.显而易见的，吸引人的,obvious,conspicuous = noticeable + visible,conspicuous = prominent + obvious,list25,4227
makeshift,n. 权宜之计,a temporary or expedient substitute or device,makeshift = temporary solution + expedient,makeshift = stopgap + temporary fix,list25,4228
involuntary,adj. 非自愿的,done without conscious control or will,involuntary = unintentional + automatic,involuntary = reflexive + unconscious,list25,4229
equable,adj.(脾气、性情)温和的,serene,equable = calm + even-tempered,equable = placid + unflappable,list25,4230
adjuration,n. 誓言,a solemn oath,adjuration = solemn oath + vow,adjuration = appeal + urgent entreaty,list25,4231
endowment,n. 捐赠,the act of giving money or property to an institution or organization,endowment = donation + funding,endowment = gift + financial support,list25,4232
orthodox,adj.传统的,"established form,custom,or rules",orthodox = traditional + accepted,orthodox = conventional + standard,list25,4233
gingerbread,n. 华而不实的装饰,"elaborate or ornate decoration, often considered excessive",gingerbread = ornate decoration + excessive,gingerbread = fancy + overdone,list25,4234
inept,adj.愚笨的，荒谬的；adj.不称职的，无能力的,1. lack of judgment; 2. incompetent,inept = unskilled + clumsy,inept = incompetent + awkward,list25,4235
redundant,adj.多余的，冗余的,exceeding necessary,redundant = unnecessary + excessive,redundant = superfluous + extra,list25,4236
emulate,vt.效仿,excel through imitation,emulate = imitate + strive to match,emulate = copy + aspire to equal,list25,4237
weary,adj. 疲倦的,"feeling or showing tiredness, especially as a result of excessive exertion or lack of sleep",weary = tired + exhausted,weary = fatigued + sleepy,list25,4238
reckon,v. 估计,to calculate or estimate,reckon = compute + approximate,reckon = believe + suppose,list25,4239
lassitude,n.乏力，没精打采,diminished energy,lassitude = fatigue + lethargy,lassitude = exhaustion + weakness,list25,4240
asseverate,v. 郑重声明,to affirm or declare positively or earnestly,asseverate = affirm + declare earnestly,asseverate = assert + proclaim,list25,4241
guru,n. 专家,an influential teacher or popular expert,guru = expert + influential teacher,guru = authority + specialist,list25,4242
tautology,n. 同义反复,"the saying of the same thing twice in different words, generally considered to be a fault of style",tautology = redundancy + repetition,tautology = repetition + needless words,list25,4243
bog,v. 陷入泥沼,"to become stuck in wet, muddy ground",bog = stuck + muddy ground,bog = mire + entrap,list25,4244
forbidding,adj. 令人生畏的,unfriendly or threatening in appearance,forbidding = unfriendly + intimidating,forbidding = threatening + unapproachable,list25,4245
tenuous,adj.没有实际内容的，空洞的,little substance,tenuous = weak + fragile,tenuous = insignificant + unstable,list25,4246
sleazy,adj. 肮脏的; 低俗的,dirty and shabby,sleazy = dirty + shabby,sleazy = immoral + corrupt,list25,4247
shun,vt.避开，避免,keep away,shun = avoid + deliberately,shun = ignore + purposefully,list25,4248
preconception,n. 先入为主的观念,an idea or opinion formed before having the evidence for its truth or usefulness,preconception = assumption + bias,preconception = prejudice + presumption,list26,4249
no-nonsense,adj. 干脆的；务实的,practical and straightforward; not tolerating foolishness,no-nonsense = practical + direct,no-nonsense = efficient + serious,list26,4251
upend,v. 颠倒；推翻,to turn something over or upside down,upend = overturn + invert,upend = flip + reverse,list26,4252
